NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes,
,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",,,,
Subsector 111 – Crop Production,,,,,
111110,Soybean Farming,$2.0,,,
111120,Oilseed (except Soybean) Farming,$2.0,,,
111130,Dry Pea and Bean Farming,$2.5,,,
111140,Wheat Farming,$2.0,,,
111150,Corn Farming,$2.25,,,
111160,Rice Farming,$2.25,,,
111191,Oilseed and Grain Combination Farming,$2.0,,,
111199,All Other Grain Farming,$2.0,,,
111211,Potato Farming,$3.75,,,
111219,Other Vegetable (except Potato) and Melon Farming  ,$3.25,,,
111310,Orange Groves,$3.5,,,
111320,Citrus (except Orange) Groves,$3.75,,,
111331,Apple Orchards,$4.0,,,
111332,Grape Vineyards,$3.5,,,
111333,Strawberry Farming,$4.75,,,
111334,Berry (except Strawberry) Farming,$3.25,,,
111335,Tree Nut Farming,$3.25,,,
111336,Fruit and Tree Nut Combination Farming,$4.5,,,
111339,Other Noncitrus Fruit Farming,$3.0,,,
111411,Mushroom Production,$4.0,,,
111419,Other Food Crops Grown Under Cover,$4.0,,,
111421,Nursery and Tree Production,$2.75,,,
111422,Floriculture Production,$3.25,,,
111910,Tobacco Farming,$2.25,,,
111920,Cotton Farming,$2.75,,,
111930,Sugarcane Farming,$4.5,,,
111940,Hay Farming,$2.25,,,
111991,Sugar Beet Farming  ,$2.25,,,
111992,Peanut Farming  ,$2.25,,,
111998,All Other Miscellaneous Crop Farming,$2.25,,,
Subsector 112 – Animal Production and Aquaculture,,,,,
112111,Beef Cattle Ranching and Farming,$2.25,,,
112112,Cattle Feedlots,$19.5,,,
112120,Dairy Cattle and Milk Production,$3.25,,,
112210,Hog and Pig Farming,$3.5,,,
112310,Chicken Egg Production,$16.5,,,
112320,Broilers and Other Meat Type Chicken Production  ,$3.0,,,
112330,Turkey Production,$3.25,,,
112340,Poultry Hatcheries,$3.5,,,
112390,Other Poultry Production,$3.25,,,
112410,Sheep Farming,$3.0,,,
112420,Goat Farming,$2.25,,,
112511,Finfish Farming and Fish Hatcheries,$3.25,,,
112512,Shellfish Farming,$3.25,,,
112519,Other  Aquaculture,$3.25,,,
112910,Apiculture,$2.75,,,
112920,Horses and Other Equine Production,$2.5,,,
112930,Fur?Bearing Animal and Rabbit Production,$3.25,,,
112990,All Other Animal Production,$2.5,,,
Subsector 113 – Forestry and Logging,,,,,
113110,Timber Tract Operations,$16.5,,,
113210,Forest Nurseries and Gathering of Forest Products,$18.0,,,
113310,Logging,,500 ,,
"Subsector 114 – Fishing, Hunting and Trapping",,,,,
114111,Finfish Fishing,$22.0,,,
114112,Shellfish Fishing,$12.5,,,
114119,Other Marine Fishing,$10.0,,,
114210,Hunting and Trapping,$7.5,,,
Subsector 115 – Support Activities for Agriculture and Forestry,,,,,
115111,Cotton Ginning,$14.0,,,
115112,"Soil Preparation, Planting, and Cultivating",$8.5,,,
115113,"Crop Harvesting, Primarily by Machine",$12.0,,,
115114,Postharvest Crop Activities (except Cotton Ginning),$30.0,,,
115115,Farm Labor Contractors and Crew Leaders,$16.5,,,
115116,Farm Management Services,$13.5,,,
115210,Support Activities for Animal Production,$9.5,,,
115310,Support Activities for Forestry  ,$10.0,,,
115310 (Exception 1),Forest Fire Suppression1,$30.0,,See footnote 1,
115310 (Exception 2),Fuels Management Services1,$30.0,,See footnote 1,
,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",,,,
Subsector 211 – Oil and Gas Extraction,,,,,
211120,Crude Petroleum Extraction,,"1,250",,
211130,Natural Gas Extraction,,"1,250",,
Subsector 212 – Mining (except Oil and Gas),,,,,
212114,Surface Coal Mining,,"1,250",,
212115,Underground Coal Mining,,"1,500",,
212210,Iron Ore Mining,,750 ,,
212220,Gold Ore and Silver Ore Mining,,"1,500",,
212230,"Copper, Nickel, Lead, and Zinc Mining",,750,,
212290,Other Metal Ore Mining,,750,,
212311,Dimension Stone Mining and Quarrying,,500 ,,
212312,Crushed and Broken Limestone Mining and Quarrying,,750 ,,
212313,Crushed and Broken Granite Mining and Quarrying,,750 ,,
212319,Other Crushed and Broken Stone Mining and Quarrying,,500 ,,
212321,Construction Sand and Gravel Mining,,500 ,,
212322,Industrial Sand Mining,,500 ,,
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",,500,,
212390,Other Nonmetallic Mineral Mining and Quarrying,,500,,
Subsector 213 – Support Activities for Mining,,,,,
213111,Drilling Oil and Gas Wells,,"1,000 ",,
213112,Support Activities for Oil and Gas Operations,$41.5,,,
213113,Support Activities for Coal Mining,$24.0,,,
213114,Support Activities for Metal Mining,$36.0,,,
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,$18.0,,,
,Sector 22 – Utilities,,,,
Subsector 221 – Utilities,,,,,
221111,Hydroelectric Power Generation,,500 ,,
221112,Fossil Fuel Electric Power Generation,,750 ,,
221113,Nuclear Electric Power Generation,,750 ,,
221114,Solar Electric Power Generation,,250 ,,
221115,Wind Electric Power Generation,,250 ,,
221116,Geothermal Electric Power Generation,,250 ,,
221117,Biomass Electric Power Generation,,250 ,,
221118,Other Electric Power Generation,,250 ,,
221121,Electric Bulk Power Transmission and Control,,500 ,,
221122,Electric Power Distribution,,"1,000 ",,
221210,Natural Gas Distribution,,"1,000 ",,
221310,Water Supply and Irrigation Systems,$36.0,,,
221320,Sewage Treatment Facilities,$31.0,,,
221330,Steam and Air?Conditioning Supply,$26.5,,,
,Sector 23 – Construction,,,,
Subsector 236 – Construction of Buildings,,,,,
236115,New Single-family Housing Construction (Except For-Sale Builders),$39.5,,,
236116,New Multifamily Housing Construction (except For-Sale Builders),$39.5,,,
236117,New Housing For-Sale Builders,$39.5,,,
236118,Residential Remodelers,$39.5,,,
236210,Industrial Building Construction,$39.5,,,
236220,Commercial and Institutional Building Construction,$39.5,,,
Subsector 237 – Heavy and Civil Engineering Construction,,,,,
237110,Water and Sewer Line and Related Structures Construction,$39.5,,,
237120,Oil and Gas Pipeline and Related Structures Construction,$39.5,,,
237130,Power and Communication Line and Related Structures Construction,$39.5,,,
237210,Land Subdivision,$30.0,,,
237310,"Highway, Street, and Bridge Construction",$39.5,,,
237990,Other Heavy and Civil Engineering Construction,$39.5,,,
237990 (Exception),Dredging and Surface Cleanup Activities2,$32.5,,See footnote 2,
Subsector 238 – Specialty Trade Contractors,,,,,
238110,Poured Concrete Foundation and Structure Contractors,$16.5,,,
238120,Structural Steel and Precast Concrete Contractors,$16.5,,,
238130,Framing Contractors,$16.5,,,
238140,Masonry Contractors,$16.5,,,
238150,Glass and Glazing Contractors,$16.5,,,
238160,Roofing Contractors,$16.5,,,
238170,Siding Contractors,$16.5,,,
238190,"Other Foundation, Structure, and Building Exterior Contractors",$16.5,,,
238210,Electrical Contractors and Other Wiring Installation Contractors,$16.5,,,
238220,"Plumbing, Heating, and Air?Conditioning Contractors   ",$16.5,,,
238290,Other Building Equipment Contractors,$19.5,,,
238310,Drywall and Insulation Contractors,$16.5,,,
238320,Painting and Wall Covering Contractors,$16.5,,,
238330,Flooring Contractors,$16.5,,,
238340,Tile and Terrazzo Contractors,$16.5,,,
238350,Finish Carpentry Contractors,$16.5,,,
238390,Other Building Finishing Contractors,$16.5,,,
238910,Site Preparation Contractors,$16.5,,,
238990,All Other Specialty Trade Contractors,$16.5,,,
238990 (Exception),Building and Property Specialty Trade Services 13,$16.5,,See footnote 13,
,Sector 31 – 33 – Manufacturing,,,,
Subsector 311 – Food Manufacturing,,,,,
311111,Dog and Cat Food Manufacturing,,"1,000 ",,
311119,Other Animal Food Manufacturing,,500 ,,
311211,Flour Milling,,"1,000 ",,
311212,Rice Milling,,500 ,,
311213,Malt Manufacturing,,500 ,,
311221,Wet Corn Milling and Starch Manufacturing,,"1,250 ",,
311224,Soybean and Other Oilseed Processing,,"1,000 ",,
311225,Fats and Oils Refining and Blending,,"1,000 ",,
311230,Breakfast Cereal Manufacturing,,"1,000 ",,
311313,Beet Sugar Manufacturing,,750 ,,
311314,Cane Sugar Manufacturing,,"1,000 ",,
311340,Nonchocolate Confectionery Manufacturing,,"1,000 ",,
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,,"1,250 ",,
311352,Confectionery Manufacturing from Purchased Chocolate,,"1,000 ",,
